Comment,Designator,Footprint,LCSC Part Number
.1uF,"C1, C36, C43, C45",0603,C1591
0.1uF,"C2, C6, C8, C11, C12, C13, C14, C15, C16, C18, C20, C21, C23, C24, C25, C26, C27, C28, C29, C33",0603,C1591
0.22uF,C3,0603,C1591
DNP,"C4, C10, C34, C35, C38, C39, C41",,
47uF,C5,0603,C730416
33nF,"C7, C37",0603,C21117
10uF,"C9, C31",0805,C1713
1uF,C17,0603,C5673
DNP,"C19, C22",,
2.2uF,"C30, C32",0603,C71000
4.7uF,"C40, C42",0805,C1779
DNP,C44,,
DNP,"D1, D25, D26, D27, D28, D29, D30, D31, D32, D34",,
DNP,"D2, D36, D37",,
DNP,"D3, D5, D7, D10, D13, D15, D18, D20",,
DNP,"D4, D6, D8, D9, D14, D16, D17, D19",,
DNP,"D11, D21, D22, D23",,
Dual TVS Diode,"D12, D33",SOT-23,C6952426
33.2v TVS Diode,D24,SMB,C88377
DNP,D35,,
30A Fuse,F1,,C5467493
DNP,"F2, F3",,
3v3 Fuse,F4,1206,C70071
DNP,FB1,,
DNP,"H1, H2, H5, H6, H7, H8, H9, H10",,
DNP,"H3, H4",,
DNP,J1,,
DNP,"J4, J15",,
DNP,"J5, J6, J16",,
DNP,J13,,
DNP,J14,,
DNP,"J17, J18",,
DNP,"JP1, JP2",, 
DNP,L1,,
4.7uH,L2,,C1329517
SiS443DN P-MOSFET,"Q1, Q2, Q7, Q8, Q9, Q13, Q14, Q15",,C48586476
DNP,"Q3, Q4, Q5, Q6, Q10, Q11, Q12, Q16, Q17, Q18",,
3.9k,R1,0603,C2479414
DNP,R2,,
10k,"R3, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R42, R43, R44, R46, R49, R51, R55, R56, R57, R58, R66, R67, R70, R71, R77",0603,C2479067
15k,R4,0603,C6112657
100k,R5,0603,C237792
330,"R6, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R19, R20, R21, R22, R24, R25, R26, R27",0603,C2479439
DNP,"R7, R73",,
1k,"R18, R23, R69, R72, R74, R75",0603,C2484712
570,R28,0603,C2479439
DNP,"R40, R41, R45, R47, R48, R50, R52, R53, R59, R60, R61, R62, R63, R64, R65, R68, R78",,
220,R54,0603,C2479616
DNP,R76,,
DNP,"TH1, TH2, TH3",,
DNP,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19",,
TMCS1108A3UQDR Current Sensor,"U1, U7, U10, U11, U12, U13, U16, U19, U20, U24",SOIC-8,C3684263
DNP,U2,,
LM340MP-5.0/NOPB LDO,U3,SOT-223-3,C131990
TPS62933 ,"U4, U23",SOT-583,C3200405
SN65HVD230,"U5, U22",SOIC-8,C12084
DNP,U6,,
DNP,"U8, U17",,
DNP,"U9, U21",,
TS3704 Comparator,"U14, U18",TSSOP-14,C75832
STM32F407VET6 Microcontroller,U15,LQFP-100,C28730
DNP,Y1,,
