Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C15,0.1uF,C_0603_1608Metric,157.26,-124.955,-90,bottom
C16,0.1uF,C_0603_1608Metric,158.235,-127.38,180,bottom
C17,1uF,C_0603_1608Metric,158.26,-129.08,180,bottom
C18,0.1uF,C_0603_1608Metric,147.96,-128.13,90,bottom
C21,0.1uF,C_0603_1608Metric,150.64,-129.02,180,bottom
C23,0.1uF,C_0603_1608Metric,163.09,-132.25,90,bottom
C24,0.1uF,C_0603_1608Metric,143.66,-132.605,-90,bottom
C28,0.1uF,C_0603_1608Metric,161.36,-146.855,-90,bottom
C29,0.1uF,C_0603_1608Metric,145.96,-147.755,-90,bottom
C30,2.2uF,C_0603_1608Metric,147.53,-149.485,90,bottom
C31,10uF,C_0805_2012Metric,144.05,-147.775,-90,bottom
C32,2.2uF,C_0603_1608Metric,162.96,-145.805,90,bottom
C36,.1uF,C_0603_1608Metric,216.675,-184.97,180,bottom
C37,33nF,C_0603_1608Metric,216.8,-173.945,90,bottom
C40,4.7uF,C_0805_2012Metric,216.6,-183.12,180,bottom
C42,4.7uF,C_0805_2012Metric,216.6,-180.97,180,bottom
C43,.1uF,C_0603_1608Metric,215.025,-176.32,0,bottom
L2,4.7uH,SRU8043-4R7Y,213,-169.37,90,bottom
R51,10k,R_0603_1608Metric,143.66,-136.48,90,bottom
R54,220,R_0603_1608Metric,154.46,-128.98,180,bottom
R77,10k,R_0603_1608Metric,219.375,-176.27,0,bottom
U15,STM32F407VETx,LQFP-100_14x14mm_P0.5mm,153.26,-138.855,-90,bottom
U23,TPS62933,SOT-583,217.15,-178.51,90,bottom
