Designator,Val,Package,MidX,MidY,Rotation,Layer
C13,0.1uF,C_0603_1608Metric,177.86,-111.495,-90,bottom
C14,0.1uF,C_0603_1608Metric,162.01,-104.495,-90,bottom
C15,0.1uF,C_0603_1608Metric,157.26,-124.955,-90,bottom
C16,0.1uF,C_0603_1608Metric,158.235,-127.38,180,bottom
C17,1uF,C_0603_1608Metric,158.26,-129.08,180,bottom
C18,0.1uF,C_0603_1608Metric,147.96,-128.13,90,bottom
C19,12pF,C_0402_1005Metric,149.96504,-126.551535,90,bottom
C20,0.1uF,C_0603_1608Metric,157,-119.65,180,bottom
C21,0.1uF,C_0603_1608Metric,150.64,-129.02,180,bottom
C22,12pF,C_0402_1005Metric,155.32,-126.33,-90,bottom
C23,0.1uF,C_0603_1608Metric,163.09,-132.25,90,bottom
C24,0.1uF,C_0603_1608Metric,143.66,-132.605,-90,bottom
C25,0.1uF,C_0603_1608Metric,178,-144.86,90,bottom
C26,0.1uF,C_0603_1608Metric,177.03,-164.91,0,bottom
C27,0.1uF,C_0603_1608Metric,162.77,-150.93,0,bottom
C28,0.1uF,C_0603_1608Metric,161.36,-146.855,-90,bottom
C29,0.1uF,C_0603_1608Metric,145.96,-147.755,-90,bottom
C30,2.2uF,C_0603_1608Metric,147.53,-149.485,90,bottom
C31,10uF,C_0805_2012Metric,144.05,-147.775,-90,bottom
C32,2.2uF,C_0603_1608Metric,162.96,-145.805,90,bottom
C34,22uF,C_0805_2012Metric,216.6,-188.98,180,bottom
C35,22uF,C_0805_2012Metric,219.35,-172.77,180,bottom
C36,.1uF,C_0603_1608Metric,216.675,-184.97,180,bottom
C37,33nF,C_0603_1608Metric,216.8,-173.945,90,bottom
C38,22uF,C_0805_2012Metric,216.6,-186.82,180,bottom
C39,22uF,C_0805_2012Metric,219.35,-168.42,180,bottom
C40,4.7uF,C_0805_2012Metric,216.6,-183.12,180,bottom
C41,22uF,C_0805_2012Metric,219.35,-170.57,180,bottom
