"Reference","Value","Qty","DNP"
"C1,C36,C43,C45",".1uF","4",""
"C2,C6,C8,C11,C12,C13,C14,C15,C16,C18,C20,C21,C23,C24,C25,C26,C27,C28,C29,C33","0.1uF","20",""
"C3","0.22uF","1",""
"C4,C10,C34,C35,C38,C39,C41","22uF","7",""
"C5","47uF","1",""
"C7,C37","33nF","2",""
"C9,C31","10uF","2",""
"C17","1uF","1",""
"C19,C22","12pF","2",""
"C30,C32","2.2uF","2",""
"C40,C42","4.7uF","2",""
"C44","C_Small","1",""
"D1,D25,D26,D27,D28,D29,D30,D31,D32,D34","D_Schottky","10",""
"D2,D36,D37","D","3",""
"D3,D5,D7,D10,D13,D15,D18,D20","Amber","8",""
"D4,D6,D8,D9,D14,D16,D17,D19","GREEN","8",""
"D11,D21,D22,D23","RED","4",""
"D12,D33","D_TVS_Dual_AAC","2",""
"D24","33.2v","1",""
"D35","D_Zener","1",""
"F1","30A","1",""
"F2,F3","750mA","2",""
"F4,U6","~","2",""
"FB1","100 @ 100MHz","1",""
"H1,H2,H5,H6,H7,H8,H9,H10","Hole","8",""
"H3,H4","SurLok","2",""
"J1","Conn_01x02","1",""
"J4,J15","Conn_01x03_Pin","2",""
"J5,J6,J16","Conn_01x02_Pin","3",""
"J13","Conn_02x03_Odd_Even","1",""
"J14","Conn_02x04_Odd_Even","1",""
"J17,J18","Conn_02x17_Counter_Clockwise","2",""
"JP1,JP2","Jumper_2_Open","2",""
"L1","5.6uH","1",""
"L2","4.7uH","1",""
"Q1,Q2,Q7,Q8,Q9,Q13,Q14,Q15","SiS443DN","8",""
"Q3,Q4,Q5,Q6,Q10,Q11,Q12,Q16,Q17,Q18","DMN63D8LDW","10",""
"R1","3.9k","1",""
"R2","16k","1",""
"R3,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R42,R43,R44,R46,R49,R51,R55,R56,R57,R58,R66,R67,R70,R71,R77","10k","27",""
"R4","15k","1",""
"R5","100k","1",""
"R6,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R19,R20,R21,R22,R24,R25,R26,R27","330","19",""
"R7,R73","120","2",""
"R18,R23,R69,R72,R74,R75","1k","6",""
"R28","570","1",""
"R40,R41,R45,R47,R48,R50,R52,R53,R59,R60,R61,R62,R63,R64,R65,R68,R78","R_Small","17",""
"R54","220","1",""
"R76","30.9k","1",""
"TH1,TH2,TH3","Thermistor_NTC","3",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19","TestPoint","19",""
"U1,U7,U10,U11,U12,U13,U16,U19,U20,U24","TMCS1108A3UQDR","10",""
"U2","STLINK-V3MODS","1",""
"U3","LM340MP-5.0/NOPB","1",""
"U4,U23","TPS62933","2",""
"U5,U22","SN65HVD230","2",""
"U8,U17","CD4043B","2",""
"U9,U21","4081","2",""
"U14,U18","TS3704","2",""
"U15","STM32F407VETx","1",""
"Y1","16MHz","1",""
